Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Frequently,31-35,Current Employees,R&D,Other,E0001,1,Male,HR Manager,Married,No,Yes,2,38,Yes,1172,1,2,1,4,35,3,2,4,3649,27754,4,7,3,4,80,2,9,3,3,6,1,2
No,Travel_Rarely,46-50,Current Employees,R&D,Medical,E0002,2,Female,Research Scientist,Married,Yes,Yes,3,39,Yes,1266,28,3,1,4,20,3,1,1,4498,23464,1,12,1,3,80,3,2,1,1,10,3,6
No,Travel_Frequently,36-40,Ex-Employees,Sales,Other,E0003,3,Female,Research Scientist,Married,No,Yes,5,37,No,1355,26,3,1,3,35,4,2,4,7464,22768,3,7,1,2,80,3,15,4,10,1,3,1
Yes,Travel_Rarely,46-50,Current Employees,R&D,Medical,E0004,4,Female,Research Scientist,Divorced,Yes,Yes,4,35,Yes,1322,28,5,1,1,48,2,3,4,7179,26172,2,18,2,4,80,0,10,1,10,8,3,9
No,Travel_Rarely,46-50,Ex-Employees,R&D,Other,E0005,5,Female,HR Manager,Married,No,Yes,1,37,Yes,1319,3,1,1,4,26,1,3,4,3903,23637,5,12,2,3,80,3,20,4,1,3,4,1
No,Travel_Rarely,46-50,Ex-Employees,HR,Medical,E0006,6,Female,Sales Executive,Single,Yes,Yes,1,27,No,1203,30,2,1,3,34,4,3,4,6226,24902,1,12,3,4,80,0,13,3,6,6,4,8
No,Travel_Frequently,36-40,Current Employees,R&D,Other,E0007,7,Female,Research Scientist,Married,No,Yes,2,39,No,1216,15,2,1,3,47,1,5,4,6650,27577,4,6,1,3,80,0,7,3,1,1,2,3
No,Travel_Rarely,36-40,Ex-Employees,Sales,Life Sciences,E0008,8,Female,Sales Executive,Divorced,Yes,Yes,5,35,No,1296,12,3,1,2,26,4,3,4,5892,25540,1,13,1,2,80,1,11,4,6,9,1,9
No,Travel_Frequently,36-40,Ex-Employees,Sales,Life Sciences,E0009,9,Female,Research Scientist,Married,No,Yes,4,45,No,1242,2,1,1,2,38,2,1,2,9026,22172,5,6,4,4,80,0,2,4,1,5,1,1
No,Travel_Frequently,41-45,Ex-Employees,R&D,Life Sciences,E0010,10,Female,Sales Executive,Divorced,Yes,Yes,5,42,Yes,1381,2,1,1,1,40,3,1,2,9139,21336,5,11,2,4,80,2,1,2,2,6,3,5
No,Travel_Rarely,41-45,Ex-Employees,Sales,Medical,E0011,11,Female,Research Scientist,Married,No,Yes,2,50,No,1147,9,1,1,1,50,4,4,4,4975,20758,4,18,1,1,80,1,13,1,5,1,3,2
Yes,Travel_Rarely,41-45,Ex-Employees,R&D,Medical,E0012,12,Female,Sales Executive,Divorced,No,Yes,4,33,Yes,1375,27,1,1,2,45,3,4,3,5689,25130,3,13,3,3,80,1,3,4,6,8,2,5
Yes,Travel_Rarely,41-45,Current Employees,Sales,Other,E0013,13,Female,Sales Executive,Married,Yes,Yes,1,47,Yes,1148,8,4,1,3,47,4,3,2,6655,28533,4,15,3,2,80,2,8,4,4,3,4,2
No,Travel_Frequently,26-30,Ex-Employees,HR,Other,E0014,14,Male,Research Scientist,Married,Yes,Yes,1,36,No,1096,25,1,1,3,29,2,2,3,4073,22855,2,10,1,1,80,2,8,2,2,6,3,7
Yes,Travel_Rarely,26-30,Ex-Employees,R&D,Life Sciences,E0015,15,Male,Sales Executive,Divorced,Yes,Yes,4,33,No,1175,23,5,1,4,32,3,3,2,7621,27580,5,7,1,1,80,3,9,4,9,2,0,1
Yes,Travel_Frequently,26-30,Current Employees,Sales,Medical,E0016,16,Male,Research Scientist,Married,No,Yes,4,32,Yes,1124,28,1,1,1,46,1,1,1,6028,22865,2,20,3,2,80,2,20,4,1,5,5,9
Yes,Travel_Frequently,31-35,Current Employees,HR,Medical,E0017,17,Female,Research Scientist,Divorced,Yes,Yes,4,49,No,1223,29,4,1,1,26,2,2,4,9349,22147,5,10,3,1,80,3,4,3,9,10,4,1
Yes,Travel_Frequently,26-30,Current Employees,R&D,Medical,E0018,18,Female,HR Manager,Married,Yes,Yes,1,28,Yes,1128,26,2,1,1,47,1,2,1,4268,22209,5,7,4,1,80,1,18,4,6,9,4,3
Yes,Travel_Rarely,31-35,Current Employees,Sales,Medical,E0019,19,Female,Research Scientist,Single,No,Yes,4,36,No,1302,9,3,1,2,36,2,1,1,4889,29840,4,20,3,1,80,0,1,3,4,3,2,10
No,Travel_Frequently,46-50,Current Employees,R&D,Life Sciences,E0020,20,Female,Sales Executive,Divorced,No,Yes,4,31,Yes,1102,22,1,1,4,43,2,2,4,6671,23067,2,5,1,2,80,1,19,3,7,1,5,4
Yes,Travel_Rarely,26-30,Ex-Employees,HR,Medical,E0021,21,Male,Sales Executive,Divorced,Yes,Yes,5,45,Yes,1458,2,1,1,4,29,2,5,1,7462,24699,4,8,4,2,80,3,17,2,7,4,5,8
No,Travel_Rarely,36-40,Ex-Employees,R&D,Medical,E0022,22,Male,HR Manager,Married,No,Yes,2,43,Yes,1268,30,2,1,1,28,3,4,2,5994,29244,5,16,4,1,80,0,19,3,1,6,4,7
No,Travel_Rarely,41-45,Ex-Employees,HR,Life Sciences,E0023,23,Male,HR Manager,Single,Yes,Yes,5,32,No,1207,5,3,1,3,42,1,4,1,5908,22881,4,14,2,1,80,2,1,1,6,4,5,2
Yes,Travel_Rarely,31-35,Ex-Employees,HR,Life Sciences,E0024,24,Male,Research Scientist,Divorced,Yes,Yes,2,46,Yes,1319,18,4,1,3,40,2,2,4,4007,20942,1,15,3,1,80,0,11,4,7,1,3,2
Yes,Travel_Rarely,46-50,Ex-Employees,Sales,Other,E0025,25,Female,Sales Executive,Single,No,Yes,2,43,Yes,1494,4,4,1,4,31,4,2,2,5794,25662,3,11,3,2,80,3,14,1,4,10,0,10
No,Travel_Frequently,26-30,Ex-Employees,HR,Life Sciences,E0026,26,Female,HR Manager,Divorced,No,Yes,2,30,No,1109,13,1,1,2,47,3,2,2,7078,20240,3,11,3,1,80,0,4,1,2,3,0,4
No,Travel_Rarely,41-45,Current Employees,HR,Other,E0027,27,Female,Sales Executive,Married,No,Yes,1,32,No,1237,19,2,1,4,41,2,4,2,5403,25825,3,15,1,3,80,0,6,4,6,8,3,9
No,Travel_Rarely,36-40,Current Employees,Sales,Life Sciences,E0028,28,Male,HR Manager,Single,Yes,Yes,1,47,Yes,1462,24,4,1,3,21,1,3,2,9654,25614,3,13,1,3,80,1,20,3,7,7,2,8
No,Travel_Rarely,46-50,Current Employees,HR,Life Sciences,E0029,29,Male,Sales Executive,Single,Yes,Yes,4,35,Yes,1454,17,3,1,4,29,1,3,3,6994,27690,1,19,2,2,80,2,20,2,8,8,3,8
Yes,Travel_Frequently,36-40,Ex-Employees,Sales,Medical,E0030,30,Female,Sales Executive,Divorced,No,Yes,5,43,No,1275,26,1,1,3,42,3,3,1,3655,24217,3,14,3,1,80,1,19,1,3,10,0,4
No,Travel_Frequently,26-30,Ex-Employees,Sales,Medical,E0031,31,Female,HR Manager,Single,No,Yes,5,26,Yes,1110,28,4,1,3,38,1,4,3,4961,22920,1,15,1,4,80,2,17,2,10,5,1,2
